id,name,city,score,joined
1,user_1,Berlin,94.79,2026-04-11
2,user_2,New York,7.24,2026-05-12
3,user_3,New York,36.57,2026-01-13
4,user_4,,21.47,2026-01-14
5,user_5,"Tokyo, JP",41.82,2026-02-15
6,user_6,New York,55.1,2026-01-16
7,user_7,,12.38,2026-02-17
8,user_8,,94.77,2026-05-18
9,user_9,,39.67,2026-02-19
10,user_10,New York,55.67,2026-02-10
11,user_11,Berlin,41.91,2026-05-11
12,user_12,New York,57.09,2026-05-12
13,user_13,São Paulo,10.31,2026-05-13
14,user_14,São Paulo,37.24,2026-05-14
15,user_15,New York,56.44,2026-05-15
16,user_16,São Paulo,49.64,2026-05-16
17,user_17,"Tokyo, JP",77.72,2026-04-17
18,user_18,,92.34,2026-03-18
19,user_19,Berlin,24.84,2026-02-19
20,user_20,São Paulo,8.19,2026-03-10
21,user_21,,49.51,2026-03-11
22,user_22,"Tokyo, JP",28.79,2026-01-12
23,user_23,New York,51.19,2026-02-13
24,user_24,Berlin,15.2,2026-04-14
25,user_25,"Tokyo, JP",3.92,2026-06-15
26,user_26,New York,76.46,2026-05-16
27,user_27,Berlin,34.01,2026-03-17
28,user_28,,49.67,2026-07-18
29,user_29,"Tokyo, JP",6.88,2026-01-19
30,user_30,Berlin,47.41,2026-06-10
31,user_31,New York,6.07,2026-06-11
32,user_32,Berlin,64.71,2026-06-12
33,user_33,"Tokyo, JP",28.46,2026-04-13
34,user_34,Berlin,2.26,2026-04-14
35,user_35,Berlin,16.8,2026-01-15
36,user_36,"Tokyo, JP",5.9,2026-07-16
37,user_37,Berlin,12.93,2026-02-17
38,user_38,"Tokyo, JP",39.09,2026-07-18
39,user_39,"Tokyo, JP",8.06,2026-04-19
40,user_40,"Tokyo, JP",54.94,2026-02-10
41,user_41,"Tokyo, JP",86.4,2026-03-11
42,user_42,"Tokyo, JP",98.65,2026-06-12
43,user_43,"Tokyo, JP",95.77,2026-02-13
44,user_44,New York,17.62,2026-02-14
45,user_45,São Paulo,1.21,2026-07-15
46,user_46,,18.23,2026-03-16
47,user_47,New York,14.57,2026-05-17
48,user_48,Berlin,60.98,2026-03-18
49,user_49,São Paulo,69.05,2026-05-19
50,user_50,,65.5,2026-06-10
51,user_51,New York,45.66,2026-07-11
52,user_52,,39.24,2026-04-12
53,user_53,"Tokyo, JP",10.35,2026-06-13
54,user_54,"Tokyo, JP",6.22,2026-01-14
55,user_55,São Paulo,44.06,2026-01-15
56,user_56,Berlin,60.07,2026-01-16
57,user_57,New York,56.68,2026-05-17
58,user_58,New York,94.89,2026-05-18
59,user_59,New York,7.03,2026-02-19
60,user_60,,37.62,2026-06-10
61,user_61,Berlin,95.55,2026-05-11
62,user_62,Berlin,47.42,2026-01-12
63,user_63,"Tokyo, JP",99.31,2026-04-13
64,user_64,"Tokyo, JP",48.38,2026-01-14
65,user_65,São Paulo,10.22,2026-03-15
66,user_66,Berlin,47.86,2026-06-16
67,user_67,São Paulo,51.63,2026-02-17
68,user_68,,36.18,2026-06-18
69,user_69,,91.41,2026-07-19
70,user_70,,29.81,2026-06-10
71,user_71,New York,69.62,2026-03-11
72,user_72,,36.67,2026-02-12
73,user_73,Berlin,77.19,2026-05-13
74,user_74,,77.91,2026-03-14
75,user_75,São Paulo,61.32,2026-07-15
76,user_76,São Paulo,80.61,2026-07-16
77,user_77,"Tokyo, JP",73.99,2026-02-17
78,user_78,São Paulo,51.76,2026-03-18
79,user_79,New York,98.96,2026-07-19
80,user_80,Berlin,47.22,2026-02-10
81,user_81,,95.65,2026-04-11
82,user_82,Berlin,95.5,2026-03-12
83,user_83,New York,22.05,2026-02-13
84,user_84,"Tokyo, JP",19.67,2026-02-14
85,user_85,"Tokyo, JP",62.41,2026-05-15
86,user_86,New York,47.95,2026-06-16
87,user_87,Berlin,79.96,2026-01-17
88,user_88,New York,90.98,2026-07-18
89,user_89,São Paulo,47.8,2026-02-19
90,user_90,"Tokyo, JP",78.91,2026-03-10
91,user_91,New York,80.08,2026-06-11
92,user_92,"Tokyo, JP",46.32,2026-06-12
93,user_93,New York,72.48,2026-02-13
94,user_94,São Paulo,2.75,2026-05-14
95,user_95,"Tokyo, JP",80.65,2026-02-15
96,user_96,,82.65,2026-04-16
97,user_97,Berlin,15.59,2026-05-17
98,user_98,São Paulo,2.14,2026-07-18
99,user_99,New York,52.66,2026-02-19
100,user_100,"Tokyo, JP",98.65,2026-02-10
